fighter,cardio_score,late_finish_rate_for,late_finish_rate_against,early_finish_rate_for,early_finish_rate_against,output_drop_per_rd,accuracy_drop_per_rd,td_def_drop_per_rd,degradation_score
Eric Schafer,0.8888888888888888,0.0,0.0,0.0,1.0,-4.899999999999999,-0.09963045335436224,-0.16666666666666652,-0.217
Brandon Vera,0.7833333333333333,0.0,0.6666666666666666,0.0,0.3333333333333333,-2.327272727272725,-0.049070189413114515,0.033333333333333555,-0.0711
Junior Dos Santos,0.624561403508772,0.1666666666666666,0.1428571428571428,0.8333333333333334,0.8571428571428571,-0.9124999999999996,-0.011428936574202322,-0.15095238095238087,-0.0674
Cheick Kongo,0.6666666666666666,0.5,0.0,0.5,1.0,0.25000000000000167,0.02513877797914461,0.3033333333333332,0.1171
Alessio Sakara,0.4666666666666666,0.0,0.0,1.0,1.0,-13.249999999999996,-0.15942719032328823,-0.33333333333333326,-0.454
Mike Pierce,0.861111111111111,0.25,0.0,0.75,1.0,2.5416666666666665,0.05995359253051521,0.22222222222222207,0.1623
Eliot Marshall,0.7777777777777777,0.0,0.0,0.0,1.0,0.7500000000000008,-0.00581123101006449,0.33333333333333287,0.1052
Duane Ludwig,0.5555555555555556,0.0,0.0,0.0,1.0,1.3333333333333357,-0.07366819055017695,0.24999999999999994,0.0277
John Howard,0.8484848484848484,0.0,0.3333333333333333,1.0,0.6666666666666666,1.1842378929335002e-15,-0.017569330140195388,0.10714285714285718,0.0166
Brendan Schaub,0.5333333333333333,0.0,0.0,1.0,1.0,-0.6249999999999984,-0.04112687597032943,0.0,-0.0534
Clay Guida,0.7777777777777777,0.2,0.25,0.8,0.75,0.1793103448275874,0.03665052470434964,-0.08425925925925919,0.0139
Jim Miller,0.6786324786324787,0.125,0.0,0.875,1.0,-4.140624999999997,-0.037390401343275474,0.2194444444444443,-0.0351
Georges St-Pierre,0.9428571428571428,1.0,0.0,0.0,0.0,-1.4055555555555546,0.022976404861964915,0.21825396825396826,0.0639
Kurt Pellegrino,0.8888888888888888,0.0,0.0,1.0,0.0,-5.6999999999999975,-0.015740809876981683,0.08333333333333337,-0.0796
Ben Saunders,0.6666666666666666,0.0,0.0,1.0,1.0,-4.6923076923076925,0.029570487035199586,-0.013888888888888737,-0.05
Frank Mir,0.5166666666666667,0.0,0.0,1.0,1.0,-2.75,0.057594251541619956,0.0,0.0324
Rodney Wallace,1.0,0.0,0.0,0.0,0.0,-2.1666666666666656,0.023280423280423266,0.0,-0.0011
Ricardo Almeida,0.75,0.0,0.0,1.0,1.0,-1.3749999999999984,-0.008091579196118796,0.0,-0.0256
Rousimar Palhares,0.4583333333333333,0.0,0.0,1.0,1.0,4.884981308350689e-16,0.08530303030303028,0.0,0.1367
Matthew Riddle,0.9444444444444444,0.0,0.0,1.0,0.0,0.5000000000000011,0.017410191258353715,0.25,0.0985
Nate Diaz,0.7703703703703703,0.2857142857142857,0.5,0.7142857142857143,0.5,3.2571428571428567,0.05104101332002661,0.118095238095238,0.1352
Kenny Florian,1.0,1.0,0.0,0.0,0.0,-0.5916666666666662,-0.011905142060419982,-0.1331547619047619,-0.0575
Roy Nelson,0.7111111111111111,0.0,0.0,1.0,1.0,0.708333333333334,0.019505022840784914,-0.07291666666666638,0.0098
Nate Quarry,0.6666666666666666,0.0,0.0,0.0,1.0,-3.874999999999997,0.016690707916887624,0.0,-0.0512
Ross Pearson,0.8521739130434783,0.25,0.0,0.75,1.0,1.8958333333333333,0.06892168944817961,0.3182142857142856,0.1881
Caol Uno,0.3333333333333333,0.0,0.0,0.0,1.0,-0.5142857142857122,0.028029134211666407,-0.15555555555555511,-0.0259
Andre Winner,0.8333333333333334,0.0,0.0,0.0,1.0,-0.499999999999998,-0.06401922011872326,0.16666666666666663,-0.0169
Rob Emerson,1.0,0.0,0.0,0.0,0.0,-3.3333333333333317,-0.11091187088875322,-0.19285714285714284,-0.21
Charlie Brenneman,0.6363636363636362,0.0,0.0,0.0,1.0,-4.583333333333331,-0.002503708955321824,0.0,-0.0947
Yushin Okami,0.7722222222222221,0.0,0.25,1.0,0.75,-0.9736842105263148,0.012645183265417699,-0.016666666666666406,-0.007
Gerald Harris,0.7777777777777777,0.5,0.0,0.5,0.0,0.3333333333333339,0.048671236171236164,0.0,0.0939
Jacob Volkmann,0.8333333333333333,0.0,0.5,1.0,0.5,-0.9285714285714278,0.0945393876614191,0.29166666666666646,0.159
Matt Hughes,0.4999999999999999,0.5,0.0,0.5,1.0,1.4750000000000003,0.012286176345818096,0.0,0.0709
Anderson Silva,0.619047619047619,0.2,0.0,0.8,1.0,2.994117647058822,0.055467780322560424,0.31071428571428555,0.1911
BJ Penn,0.7666666666666666,0.0,0.3333333333333333,1.0,0.6666666666666666,-0.10952380952380969,-0.04398377072755451,-0.08666666666666664,-0.0659
Kendall Grove,0.9166666666666666,0.0,0.0,0.0,1.0,0.6875000000000008,-0.036139123617355016,0.14897959183673462,0.0226
