fighter,weight_class,n_fights,avg_SIG_STR_pct,avg_SIG_STR_landed,avg_TD_pct,avg_TD_landed,avg_SUB_ATT,ko_finish_rate,cluster_id,style
Aaron Phillips,Bantamweight,3,0.53,1.51,0.5,0.86,0.6,0.0,2,Well-Rounded
Aaron Riley,Lightweight,3,0.369,36.0,0.284,1.0,0.125,0.0,0,Volume Striker
Abdul Razak Alhassan,Middleweight,6,0.49,3.64,0.33,0.84,0.2,1.0,4,Pressure Striker
Abel Trujillo,Lightweight,10,0.372,24.4,0.543,1.4,0.3,0.5,2,Well-Rounded
Abu Azaitar,Middleweight,3,0.43,4.38,0.37,1.0,0.0,0.0,2,Well-Rounded
Abubakar Nurmagomedov,Welterweight,4,0.53,2.78,0.22,1.25,0.0,0.0,2,Well-Rounded
Abus Magomedov,Middleweight,7,0.49,3.07,0.59,2.61,0.4,0.25,3,Wrestler/Grappler
Adam Fugitt,Welterweight,6,0.46,4.88,0.22,1.63,0.0,0.5,4,Pressure Striker
Adam Wieczorek,Heavyweight,3,0.46,27.5,0.0,0.0,0.5,0.0,0,Volume Striker
Adrian Yanez,Bantamweight,10,0.41,5.96,0.0,0.0,0.0,0.8571428571428571,4,Pressure Striker
Adriano Martins,Lightweight,7,0.443,14.5,0.292,0.6667,0.1667,0.5,4,Pressure Striker
Aiemann Zahabi,Bantamweight,9,0.47,4.54,0.14,0.12,0.0,0.2857142857142857,2,Well-Rounded
Ailin Perez,Women's Bantamweight,6,0.56,2.88,0.49,4.9,0.2,0.0,3,Wrestler/Grappler
Aisling Daly,Women's Strawweight,3,0.51,21.5,0.45,1.5,1.0,0.0,1,Submission Grappler
Aj Dobson,Middleweight,4,0.46,4.29,0.75,1.67,0.3,0.0,2,Well-Rounded
Aj Fletcher,Welterweight,4,0.49,3.36,0.35,1.54,0.9,0.5,2,Well-Rounded
Akbarh Arreola,Lightweight,4,0.44,25.3333,0.667,1.0,0.3333,0.0,2,Well-Rounded
