fight_url,date,fighter_0,fighter_1,round,ssl_0,ssa_0,tdl_0,tda_0,kd_0,ctrl_0,ssl_1,ssa_1,tdl_1,tda_1,kd_1,ctrl_1
http://ufcstats.com/fight-details/db8df615610f3632,1995-04-07,Ken Shamrock,Royce Gracie,1,9,19,1,1,0,0,3,8,0,0,0,0
http://ufcstats.com/fight-details/db8df615610f3632,1995-04-07,Ken Shamrock,Royce Gracie,2,1,3,0,0,0,0,0,4,0,1,0,0
http://ufcstats.com/fight-details/3932f8e9a74f3d11,1995-09-08,Ken Shamrock,Oleg Taktarov,1,22,40,1,1,0,0,2,14,0,1,0,0
http://ufcstats.com/fight-details/3932f8e9a74f3d11,1995-09-08,Ken Shamrock,Oleg Taktarov,2,7,18,0,0,0,0,2,8,0,1,0,0
http://ufcstats.com/fight-details/524b49a676498c6d,1995-12-16,Dan Severn,Oleg Taktarov,1,22,58,0,0,0,0,7,17,0,1,0,0
http://ufcstats.com/fight-details/524b49a676498c6d,1995-12-16,Dan Severn,Oleg Taktarov,2,2,21,0,0,0,0,1,12,0,0,0,0
http://ufcstats.com/fight-details/6a060498e60756af,1996-05-17,Dan Severn,Ken Shamrock,1,13,55,0,2,0,0,14,64,0,0,0,0
http://ufcstats.com/fight-details/6a060498e60756af,1996-05-17,Dan Severn,Ken Shamrock,2,0,4,0,0,0,0,0,2,0,0,0,0
http://ufcstats.com/fight-details/6a060498e60756af,1996-05-17,Dan Severn,Ken Shamrock,3,3,16,0,0,0,0,4,15,0,1,0,0
http://ufcstats.com/fight-details/9f6a7aee1fce539a,1996-09-20,Scott Ferrozzo,David Abbott,1,48,69,0,1,0,0,14,32,0,1,0,0
http://ufcstats.com/fight-details/9f6a7aee1fce539a,1996-09-20,Scott Ferrozzo,David Abbott,2,12,25,0,0,0,0,7,18,0,0,0,0
http://ufcstats.com/fight-details/e45feb9866eb2da7,1997-02-07,Yoshiki Takahashi,Wallid Ismail,1,11,25,1,1,0,0,1,10,1,10,0,0
http://ufcstats.com/fight-details/e45feb9866eb2da7,1997-02-07,Yoshiki Takahashi,Wallid Ismail,2,9,18,0,0,0,0,0,7,0,0,0,0
http://ufcstats.com/fight-details/45e49fe8d3d1bfb5,1997-05-30,Guy Mezger,Christophe Leninger,1,26,41,0,0,0,0,2,13,0,2,0,0
http://ufcstats.com/fight-details/45e49fe8d3d1bfb5,1997-05-30,Guy Mezger,Christophe Leninger,2,9,13,0,0,0,0,1,3,0,0,0,0
